original_feature,unique_feature
$250 security deposit,$250 security deposit
1 month free,1 month free
2 full baths,2 full baths
24 hour concierge/doorman,24 hour concierge/doorman
24 hour doorman,24 hour concierge/doorman
24-hour doorman,24 hour concierge/doorman
24/7 concierge,24 hour concierge/doorman
24/7 doorman,24 hour concierge/doorman
24/7 doorman concierge,24 hour concierge/doorman
24hr doorman,24 hour concierge/doorman
a full service luxury highrise,a full service luxury highrise
actual apt. photos,actual apt. photos
actual photos!,actual apt. photos
air conditioning,air conditioning
all pets ok,all pets ok
all utilities included,all utilities included
assigned-parking-space,assigned-parking-space
attended lobby,attended lobby
backyard,backyard
balcony,balcony
basement storage,basement storage
basketball court,basketball court
bicycle room,bicycle room
bike room,bicycle room
bike storage,bicycle room
billiards,billiards
billiards room,billiards
billiards table and wet bar,billiards
brand new,brand new
breakfast bar,breakfast bar
bright,bright
brownstone,brownstone
building-common-outdoor-space,building-common-outdoor-space
business center,business center
cable ready,cable ready
cable/satellite tv,cable ready
call/text abraham caro @ 917-373-0862,call/text abraham caro @ 917-373-0862
cats allowed,cats allowed
central a/c,central a/c
central ac,central a/c
central air,central a/c
central heat,central a/c
chefs kitchen,chefs kitchen
children's playroom,children's playroom
childrens playroom,children's playroom
children’s playroom,children's playroom
cinema room,cinema room
city view,city view
close to subway,close to subway
close to transit,close to subway
closet space,close to subway
closets galore!,close to subway
club sun deck has spectacular city and river views,club sun deck has spectacular city and river views
cold storage,cold storage
common backyard,common backyard
common garden,common garden
common outdoor space,common outdoor space
common parking/garage,common parking/garage
common roof deck,common roof deck
common storage,common storage
common terrace,common terrace
community recreation facilities,community recreation facilities
complimentary continental breakfast,complimentary continental breakfast
complimentary sunday brunch,complimentary continental breakfast
concierge,concierge
concierge service,concierge
condo finishes,condo finishes
corner unit,corner unit
courtyard,courtyard
crown moldings,crown moldings
deck,deck
deco brick wall,deco brick wall
deco brick walls,deco brick wall
deco fireplace,deco fireplace
decorative fireplace,decorative fireplace
dining room,dining room
diplomats ok,diplomats ok
dish washer,dish washer
dishwasher,dish washer
dogs allowed,dogs allowed
doorman,concierge
dry cleaning service,dry cleaning service
dryer in unit,dryer in unit
duplex,duplex
duplex lounge,duplex
dw,dw
eat in kitchen,eat in kitchen
eat-in kitchen,eat in kitchen
electronic rent payment,electronic rent payment
elegant glass-enclosed private lounge with magnificent river views,elegant glass-enclosed private lounge with magnificent river views
elevator,elevator
exclusive,exclusive
exercise/yoga studio,exercise/yoga studio
exposed brick,exposed brick
extra room,extra room
fireplace,fireplace
fireplaces,fireplace
fitness center,fitness center
fitness facility,fitness center
fitness room,fitness center
flex-2,flex-2
flex-3,flex-2
free wifi,free wifi
free wifi in club lounge,free wifi
french doors,french doors
ft doorman,ft doorman
full service garage,full service garage
full-time doorman,full service garage
fully  equipped,full service garage
fully-equipped club fitness center,full service garage
furnished,furnished
game room,game room
garage,garage
garbage disposal,garbage disposal
garden,garden
garden/patio,garden
granite counter tops,granite counter tops
granite counters,granite counter tops
granite countertops,granite counter tops
granite kitchen,granite counter tops
green building,green building
guarantors accepted,guarantors accepted
gut renovated,gut renovated
gym,gym
